order_id|customer_id|order_date|order_time|order_status|payment_method|shipping_address|shipping_city|shipping_state|shipping_postal_code|order_total|tax_amount|shipping_fee|discount_code|discount_amount|notes
839|372|2025-08-25|09:48:11|pending|debit_card|98741 John Islands|Wattsfort|IA|37219|2797.87|223.0|10.39||0.0|
314|213|2025-06-09|09:48:11|shipped|debit_card|71504 Phillip Ramp|South Mariahfort|NH|82860|3343.15|267.11|15.52||11.28|
1349|175|2025-06-23|09:48:11|delivered|credit_card|174 Schwartz Shores Suite 421|Kimberlyfurt|MS|44102|4208.72|335.7|12.41||0.0|
793|463|2025-09-05|09:48:11|shipped|paypal|67200 Warren Ford Suite 142|South Kristihaven|CA|77372|3600.07|291.08|2.77||41.2|
160|51|2025-07-12|09:48:11|delivered|credit_card|09439 Montgomery Burgs|Sanchezfurt|ME|59947|3655.41|292.43|0.0||0.0|Nothing participant attorney necessary determine ahead.
1126|60|2025-08-21|09:48:11|delivered|credit_card|8783 Erin Ranch Apt. 878|Port Amyhaven|ID|75566|1383.7|112.02|0.0||16.54|
853|348|2025-07-02|09:48:11|cancelled|credit_card|50922 Christopher Village|North Scottton|MD|13277|3249.35|259.5|5.59||0.0|
1685|161|2025-04-09|09:48:11|pending|credit_card|55830 Hannah Glens Apt. 448|Katieville|TX|44185|4730.26|378.8|4.1||8.9|
1868|91|2025-08-23|09:48:11|pending|debit_card|670 Vega Extensions Suite 324|Seanberg|AZ|80993|2765.52|220.77|5.95||0.0|
1243|433|2025-05-27|09:48:11|processing|bank_transfer|9061 Janet Trail|Port Darlene|MN|36858|1232.49|97.39|15.16||0.0|
99|333|2025-05-16|09:48:11|processing|paypal|576 Yang Mews|Katherineberg|VA|24546|5802.58|463.35|10.76||0.0|
673|418|2025-08-20|09:48:11|shipped|paypal|315 Morgan Loop|Karenfort|MO|71949|4199.22|335.63|3.9||0.0|
1148|391|2025-05-29|09:48:11|shipped|credit_card|546 Diaz Freeway Suite 851|West Michelle|UT|32862|2919.7|232.57|12.58||0.0|
